,year,month,day,hour,Temperature (C),day_of_year
0,2006.0,4.0,1.0,0.0,9.47222222222222,91.0
1,2006.0,4.0,1.0,1.0,9.355555555555558,91.0
2,2006.0,4.0,1.0,2.0,9.377777777777778,91.0
3,2006.0,4.0,1.0,3.0,8.28888888888889,91.0
4,2006.0,4.0,1.0,4.0,8.755555555555553,91.0
5,2006.0,4.0,1.0,5.0,9.22222222222222,91.0
6,2006.0,4.0,1.0,6.0,7.733333333333334,91.0
7,2006.0,4.0,1.0,7.0,8.77222222222222,91.0
8,2006.0,4.0,1.0,8.0,10.82222222222222,91.0
9,2006.0,4.0,1.0,9.0,13.77222222222222,91.0
10,2006.0,4.0,1.0,10.0,16.016666666666666,91.0
11,2006.0,4.0,1.0,11.0,17.144444444444446,91.0
12,2006.0,4.0,1.0,12.0,17.800000000000004,91.0
13,2006.0,4.0,1.0,13.0,17.333333333333332,91.0
14,2006.0,4.0,1.0,14.0,18.87777777777778,91.0
15,2006.0,4.0,1.0,15.0,18.911111111111115,91.0
16,2006.0,4.0,1.0,16.0,15.38888888888889,91.0
17,2006.0,4.0,1.0,17.0,15.550000000000002,91.0
18,2006.0,4.0,1.0,18.0,14.255555555555553,91.0
19,2006.0,4.0,1.0,19.0,13.144444444444442,91.0
20,2006.0,4.0,1.0,20.0,11.55,91.0
21,2006.0,4.0,1.0,21.0,11.183333333333334,91.0
22,2006.0,4.0,1.0,22.0,10.116666666666667,91.0
23,2006.0,4.0,1.0,23.0,10.2,91.0
24,2006.0,4.0,10.0,0.0,10.42222222222222,100.0
25,2006.0,4.0,10.0,1.0,9.911111111111111,100.0
26,2006.0,4.0,10.0,2.0,11.183333333333334,100.0
27,2006.0,4.0,10.0,3.0,7.155555555555556,100.0
28,2006.0,4.0,10.0,4.0,6.111111111111111,100.0
29,2006.0,4.0,10.0,5.0,6.788888888888888,100.0
30,2006.0,4.0,10.0,6.0,7.26111111111111,100.0
31,2006.0,4.0,10.0,7.0,7.799999999999999,100.0
32,2006.0,4.0,10.0,8.0,9.872222222222224,100.0
33,2006.0,4.0,10.0,9.0,12.22222222222222,100.0
34,2006.0,4.0,10.0,10.0,15.094444444444449,100.0
35,2006.0,4.0,10.0,11.0,17.355555555555558,100.0
36,2006.0,4.0,10.0,12.0,19.00555555555555,100.0
37,2006.0,4.0,10.0,13.0,20.04444444444444,100.0
38,2006.0,4.0,10.0,14.0,21.05,100.0
39,2006.0,4.0,10.0,15.0,21.18333333333333,100.0
40,2006.0,4.0,10.0,16.0,20.11666666666666,100.0
41,2006.0,4.0,10.0,17.0,20.216666666666665,100.0
42,2006.0,4.0,10.0,18.0,20.0,100.0
