wall up,wall right,wall down,wall left,apple up,apple right,apple down,apple left,distance x,distance y,direction
200,400,200,400,0,0,0,0,288,-120,
196,400,204,400,0,0,0,0,288,-116,0.0
192,400,208,400,0,0,0,0,288,-112,0.0
188,400,212,400,0,0,0,0,288,-108,0.0
184,400,216,400,0,0,0,0,288,-104,0.0
180,400,220,400,0,0,0,0,288,-100,0.0
176,400,224,400,0,0,0,0,288,-96,0.0
172,400,228,400,0,0,0,0,288,-92,0.0
168,400,232,400,0,0,0,0,288,-88,0.0
164,400,236,400,0,0,0,0,288,-84,0.0
160,400,240,400,0,0,0,0,288,-80,0.0
156,400,244,400,0,0,0,0,288,-76,0.0
152,400,248,400,0,0,0,0,288,-72,0.0
148,400,252,400,0,0,0,0,288,-68,0.0
144,400,256,400,0,0,0,0,288,-64,0.0
140,400,260,400,0,0,0,0,288,-60,0.0
136,400,264,400,0,0,0,0,288,-56,0.0
132,400,268,400,0,0,0,0,288,-52,0.0
128,400,272,400,0,0,0,0,288,-48,0.0
124,400,276,400,0,0,0,0,288,-44,0.0
120,400,280,400,0,0,0,0,288,-40,0.0
116,400,284,400,0,0,0,0,288,-36,0.0
112,400,288,400,0,0,0,0,288,-32,0.0
108,400,292,400,0,0,0,0,288,-28,0.0
104,400,296,400,0,0,0,0,288,-24,0.0
100,400,300,400,0,0,0,0,288,-20,0.0
96,400,304,400,0,0,0,0,288,-16,0.0
92,400,308,400,0,0,0,0,288,-12,0.0
88,400,312,400,0,0,0,0,288,-8,0.0
84,400,316,400,0,0,0,0,288,-4,0.0
80,400,320,400,0,0,0,1,288,0,0.0
80,404,320,396,0,0,0,1,284,0,3.0
80,408,320,392,0,0,0,1,280,0,3.0
80,412,320,388,0,0,0,1,276,0,3.0
80,416,320,384,0,0,0,1,272,0,3.0
80,420,320,380,0,0,0,1,268,0,3.0
80,424,320,376,0,0,0,1,264,0,3.0
80,428,320,372,0,0,0,1,260,0,3.0
80,432,320,368,0,0,0,1,256,0,3.0
80,436,320,364,0,0,0,1,252,0,3.0
80,440,320,360,0,0,0,1,248,0,3.0
80,444,320,356,0,0,0,1,244,0,3.0
80,448,320,352,0,0,0,1,240,0,3.0
80,452,320,348,0,0,0,1,236,0,3.0
80,456,320,344,0,0,0,1,232,0,3.0
80,460,320,340,0,0,0,1,228,0,3.0
80,464,320,336,0,0,0,1,224,0,3.0
80,468,320,332,0,0,0,1,220,0,3.0
80,472,320,328,0,0,0,1,216,0,3.0
80,476,320,324,0,0,0,1,212,0,3.0
80,480,320,320,0,0,0,1,208,0,3.0
80,484,320,316,0,0,0,1,204,0,3.0
80,488,320,312,0,0,0,1,200,0,3.0
80,492,320,308,0,0,0,1,196,0,3.0
80,496,320,304,0,0,0,1,192,0,3.0
80,500,320,300,0,0,0,1,188,0,3.0
80,504,320,296,0,0,0,1,184,0,3.0
80,508,320,292,0,0,0,1,180,0,3.0
80,512,320,288,0,0,0,1,176,0,3.0
80,516,320,284,0,0,0,1,172,0,3.0
80,520,320,280,0,0,0,1,168,0,3.0
80,524,320,276,0,0,0,1,164,0,3.0
80,528,320,272,0,0,0,1,160,0,3.0
80,532,320,268,0,0,0,1,156,0,3.0
80,536,320,264,0,0,0,1,152,0,3.0
80,540,320,260,0,0,0,1,148,0,3.0
80,544,320,256,0,0,0,1,144,0,3.0
80,548,320,252,0,0,0,1,140,0,3.0
80,552,320,248,0,0,0,1,136,0,3.0
80,556,320,244,0,0,0,1,132,0,3.0
80,560,320,240,0,0,0,1,128,0,3.0
80,564,320,236,0,0,0,1,124,0,3.0
80,568,320,232,0,0,0,1,120,0,3.0
80,572,320,228,0,0,0,1,116,0,3.0
80,576,320,224,0,0,0,1,112,0,3.0
80,580,320,220,0,0,0,1,108,0,3.0
80,584,320,216,0,0,0,1,104,0,3.0
80,588,320,212,0,0,0,1,100,0,3.0
80,592,320,208,0,0,0,1,96,0,3.0
80,596,320,204,0,0,0,1,92,0,3.0
80,600,320,200,0,0,0,1,88,0,3.0
80,604,320,196,0,0,0,1,84,0,3.0
80,608,320,192,0,0,0,1,80,0,3.0
80,612,320,188,0,0,0,1,76,0,3.0
80,616,320,184,0,0,0,1,72,0,3.0
80,620,320,180,0,0,0,1,68,0,3.0
80,624,320,176,0,0,0,1,64,0,3.0
80,628,320,172,0,0,0,1,60,0,3.0
80,632,320,168,0,0,0,1,56,0,3.0
80,636,320,164,0,0,0,1,52,0,3.0
80,640,320,160,0,0,0,1,48,0,3.0
80,644,320,156,0,0,0,1,44,0,3.0
80,648,320,152,0,0,0,1,40,0,3.0
80,652,320,148,0,0,0,1,36,0,3.0
80,656,320,144,0,0,0,1,32,0,3.0
80,660,320,140,0,0,0,1,28,0,3.0
80,664,320,136,0,0,0,1,24,0,3.0
80,668,320,132,0,0,0,1,20,0,3.0
80,672,320,128,0,0,0,1,16,0,3.0
80,676,320,124,0,0,0,0,-628,32,3.0
80,672,320,128,0,0,0,0,-624,32,1.0
80,668,320,132,0,0,0,0,-620,32,1.0
80,664,320,136,0,0,0,0,-616,32,1.0
80,660,320,140,0,0,0,0,-612,32,1.0
80,656,320,144,0,0,0,0,-608,32,1.0
80,652,320,148,0,0,0,0,-604,32,1.0
80,648,320,152,0,0,0,0,-600,32,1.0
80,644,320,156,0,0,0,0,-596,32,1.0
80,640,320,160,0,0,0,0,-592,32,1.0
80,636,320,164,0,0,0,0,-588,32,1.0
80,632,320,168,0,0,0,0,-584,32,1.0
80,628,320,172,0,0,0,0,-580,32,1.0
80,624,320,176,0,0,0,0,-576,32,1.0
80,620,320,180,0,0,0,0,-572,32,1.0
80,616,320,184,0,0,0,0,-568,32,1.0
80,612,320,188,0,0,0,0,-564,32,1.0
80,608,320,192,0,0,0,0,-560,32,1.0
80,604,320,196,0,0,0,0,-556,32,1.0
80,600,320,200,0,0,0,0,-552,32,1.0
80,596,320,204,0,0,0,0,-548,32,1.0
80,592,320,208,0,0,0,0,-544,32,1.0
80,588,320,212,0,0,0,0,-540,32,1.0
80,584,320,216,0,0,0,0,-536,32,1.0
80,580,320,220,0,0,0,0,-532,32,1.0
80,576,320,224,0,0,0,0,-528,32,1.0
80,572,320,228,0,0,0,0,-524,32,1.0
80,568,320,232,0,0,0,0,-520,32,1.0
80,564,320,236,0,0,0,0,-516,32,1.0
80,560,320,240,0,0,0,0,-512,32,1.0
80,556,320,244,0,0,0,0,-508,32,1.0
80,552,320,248,0,0,0,0,-504,32,1.0
80,548,320,252,0,0,0,0,-500,32,1.0
80,544,320,256,0,0,0,0,-496,32,1.0
80,540,320,260,0,0,0,0,-492,32,1.0
80,536,320,264,0,0,0,0,-488,32,1.0
80,532,320,268,0,0,0,0,-484,32,1.0
80,528,320,272,0,0,0,0,-480,32,1.0
80,524,320,276,0,0,0,0,-476,32,1.0
80,520,320,280,0,0,0,0,-472,32,1.0
80,516,320,284,0,0,0,0,-468,32,1.0
80,512,320,288,0,0,0,0,-464,32,1.0
80,508,320,292,0,0,0,0,-460,32,1.0
80,504,320,296,0,0,0,0,-456,32,1.0
80,500,320,300,0,0,0,0,-452,32,1.0
80,496,320,304,0,0,0,0,-448,32,1.0
80,492,320,308,0,0,0,0,-444,32,1.0
80,488,320,312,0,0,0,0,-440,32,1.0
80,484,320,316,0,0,0,0,-436,32,1.0
80,480,320,320,0,0,0,0,-432,32,1.0
80,476,320,324,0,0,0,0,-428,32,1.0
80,472,320,328,0,0,0,0,-424,32,1.0
80,468,320,332,0,0,0,0,-420,32,1.0
80,464,320,336,0,0,0,0,-416,32,1.0
80,460,320,340,0,0,0,0,-412,32,1.0
80,456,320,344,0,0,0,0,-408,32,1.0
80,452,320,348,0,0,0,0,-404,32,1.0
80,448,320,352,0,0,0,0,-400,32,1.0
80,444,320,356,0,0,0,0,-396,32,1.0
80,440,320,360,0,0,0,0,-392,32,1.0
80,436,320,364,0,0,0,0,-388,32,1.0
80,432,320,368,0,0,0,0,-384,32,1.0
80,428,320,372,0,0,0,0,-380,32,1.0
80,424,320,376,0,0,0,0,-376,32,1.0
80,420,320,380,0,0,0,0,-372,32,1.0
80,416,320,384,0,0,0,0,-368,32,1.0
80,412,320,388,0,0,0,0,-364,32,1.0
80,408,320,392,0,0,0,0,-360,32,1.0
80,404,320,396,0,0,0,0,-356,32,1.0
80,400,320,400,0,0,0,0,-352,32,1.0
80,396,320,404,0,0,0,0,-348,32,1.0
80,392,320,408,0,0,0,0,-344,32,1.0
80,388,320,412,0,0,0,0,-340,32,1.0
80,384,320,416,0,0,0,0,-336,32,1.0
80,380,320,420,0,0,0,0,-332,32,1.0
80,376,320,424,0,0,0,0,-328,32,1.0
80,372,320,428,0,0,0,0,-324,32,1.0
80,368,320,432,0,0,0,0,-320,32,1.0
80,364,320,436,0,0,0,0,-316,32,1.0
80,360,320,440,0,0,0,0,-312,32,1.0
80,356,320,444,0,0,0,0,-308,32,1.0
80,352,320,448,0,0,0,0,-304,32,1.0
80,348,320,452,0,0,0,0,-300,32,1.0
80,344,320,456,0,0,0,0,-296,32,1.0
80,340,320,460,0,0,0,0,-292,32,1.0
80,336,320,464,0,0,0,0,-288,32,1.0
80,332,320,468,0,0,0,0,-284,32,1.0
80,328,320,472,0,0,0,0,-280,32,1.0
80,324,320,476,0,0,0,0,-276,32,1.0
80,320,320,480,0,0,0,0,-272,32,1.0
80,316,320,484,0,0,0,0,-268,32,1.0
80,312,320,488,0,0,0,0,-264,32,1.0
80,308,320,492,0,0,0,0,-260,32,1.0
80,304,320,496,0,0,0,0,-256,32,1.0
80,300,320,500,0,0,0,0,-252,32,1.0
80,296,320,504,0,0,0,0,-248,32,1.0
80,292,320,508,0,0,0,0,-244,32,1.0
80,288,320,512,0,0,0,0,-240,32,1.0
80,284,320,516,0,0,0,0,-236,32,1.0
80,280,320,520,0,0,0,0,-232,32,1.0
80,276,320,524,0,0,0,0,-228,32,1.0
80,272,320,528,0,0,0,0,-224,32,1.0
80,268,320,532,0,0,0,0,-220,32,1.0
80,264,320,536,0,0,0,0,-216,32,1.0
80,260,320,540,0,0,0,0,-212,32,1.0
80,256,320,544,0,0,0,0,-208,32,1.0
80,252,320,548,0,0,0,0,-204,32,1.0
80,248,320,552,0,0,0,0,-200,32,1.0
80,244,320,556,0,0,0,0,-196,32,1.0
80,240,320,560,0,0,0,0,-192,32,1.0
80,236,320,564,0,0,0,0,-188,32,1.0
80,232,320,568,0,0,0,0,-184,32,1.0
80,228,320,572,0,0,0,0,-180,32,1.0
80,224,320,576,0,0,0,0,-176,32,1.0
80,220,320,580,0,0,0,0,-172,32,1.0
80,216,320,584,0,0,0,0,-168,32,1.0
80,212,320,588,0,0,0,0,-164,32,1.0
80,208,320,592,0,0,0,0,-160,32,1.0
80,204,320,596,0,0,0,0,-156,32,1.0
80,200,320,600,0,0,0,0,-152,32,1.0
80,196,320,604,0,0,0,0,-148,32,1.0
80,192,320,608,0,0,0,0,-144,32,1.0
80,188,320,612,0,0,0,0,-140,32,1.0
80,184,320,616,0,0,0,0,-136,32,1.0
80,180,320,620,0,0,0,0,-132,32,1.0
80,176,320,624,0,0,0,0,-128,32,1.0
80,172,320,628,0,0,0,0,-124,32,1.0
80,168,320,632,0,0,0,0,-120,32,1.0
80,164,320,636,0,0,0,0,-116,32,1.0
80,160,320,640,0,0,0,0,-112,32,1.0
80,156,320,644,0,0,0,0,-108,32,1.0
80,152,320,648,0,0,0,0,-104,32,1.0
80,148,320,652,0,0,0,0,-100,32,1.0
80,144,320,656,0,0,0,0,-96,32,1.0
80,140,320,660,0,0,0,0,-92,32,1.0
80,136,320,664,0,0,0,0,-88,32,1.0
80,132,320,668,0,0,0,0,-84,32,1.0
80,128,320,672,0,0,0,0,-80,32,1.0
80,124,320,676,0,0,0,0,-76,32,1.0
80,120,320,680,0,0,0,0,-72,32,1.0
80,116,320,684,0,0,0,0,-68,32,1.0
80,112,320,688,0,0,0,0,-64,32,1.0
80,108,320,692,0,0,0,0,-60,32,1.0
80,104,320,696,0,0,0,0,-56,32,1.0
80,100,320,700,0,0,0,0,-52,32,1.0
80,96,320,704,0,0,0,0,-48,32,1.0
80,92,320,708,0,0,0,0,-44,32,1.0
80,88,320,712,0,0,0,0,-40,32,1.0
80,84,320,716,0,0,0,0,-36,32,1.0
80,80,320,720,0,0,0,0,-32,32,1.0
80,76,320,724,0,0,0,0,-28,32,1.0
80,72,320,728,0,0,0,0,-24,32,1.0
80,68,320,732,0,0,0,0,-20,32,1.0
80,64,320,736,0,0,0,0,-16,32,1.0
80,60,320,740,0,0,0,0,-12,32,1.0
80,56,320,744,0,0,0,0,-8,32,1.0
80,52,320,748,0,0,0,0,-4,32,1.0
80,48,320,752,0,0,1,0,0,32,1.0
84,48,316,752,0,0,1,0,0,28,2.0
88,48,312,752,0,0,1,0,0,24,2.0
92,48,308,752,0,0,1,0,0,20,2.0
96,48,304,752,0,0,1,0,0,16,2.0
100,48,300,752,0,0,0,0,48,20,2.0
104,48,296,752,0,0,0,0,48,16,2.0
108,48,292,752,0,0,0,0,48,12,2.0
112,48,288,752,0,0,0,0,48,8,2.0
116,48,284,752,0,0,0,0,48,4,2.0
120,48,280,752,0,0,0,1,48,0,2.0
120,52,280,748,0,0,0,1,44,0,3.0
120,56,280,744,0,0,0,1,40,0,3.0
120,60,280,740,0,0,0,1,36,0,3.0
120,64,280,736,0,0,0,1,32,0,3.0
120,68,280,732,0,0,0,1,28,0,3.0
120,72,280,728,0,0,0,1,24,0,3.0
120,76,280,724,0,0,0,1,20,0,3.0
120,80,280,720,0,0,0,1,16,0,3.0
120,84,280,716,0,0,0,0,324,88,3.0
124,84,276,716,0,0,0,0,324,84,2.0
128,84,272,716,0,0,0,0,324,80,2.0
132,84,268,716,0,0,0,0,324,76,2.0
136,84,264,716,0,0,0,0,324,72,2.0
140,84,260,716,0,0,0,0,324,68,2.0
144,84,256,716,0,0,0,0,324,64,2.0
148,84,252,716,0,0,0,0,324,60,2.0
152,84,248,716,0,0,0,0,324,56,2.0
156,84,244,716,0,0,0,0,324,52,2.0
160,84,240,716,0,0,0,0,324,48,2.0
164,84,236,716,0,0,0,0,324,44,2.0
168,84,232,716,0,0,0,0,324,40,2.0
172,84,228,716,0,0,0,0,324,36,2.0
176,84,224,716,0,0,0,0,324,32,2.0
180,84,220,716,0,0,0,0,324,28,2.0
184,84,216,716,0,0,0,0,324,24,2.0
188,84,212,716,0,0,0,0,324,20,2.0
192,84,208,716,0,0,0,0,324,16,2.0
196,84,204,716,0,0,0,0,324,12,2.0
200,84,200,716,0,0,0,0,324,8,2.0
204,84,196,716,0,0,0,0,324,4,2.0
208,84,192,716,0,0,0,1,324,0,2.0
208,88,192,712,0,0,0,1,320,0,3.0
208,92,192,708,0,0,0,1,316,0,3.0
208,96,192,704,0,0,0,1,312,0,3.0
208,100,192,700,0,0,0,1,308,0,3.0
208,104,192,696,0,0,0,1,304,0,3.0
208,108,192,692,0,0,0,1,300,0,3.0
208,112,192,688,0,0,0,1,296,0,3.0
208,116,192,684,0,0,0,1,292,0,3.0
208,120,192,680,0,0,0,1,288,0,3.0
208,124,192,676,0,0,0,1,284,0,3.0
208,128,192,672,0,0,0,1,280,0,3.0
208,132,192,668,0,0,0,1,276,0,3.0
208,136,192,664,0,0,0,1,272,0,3.0
208,140,192,660,0,0,0,1,268,0,3.0
208,144,192,656,0,0,0,1,264,0,3.0
208,148,192,652,0,0,0,1,260,0,3.0
208,152,192,648,0,0,0,1,256,0,3.0
208,156,192,644,0,0,0,1,252,0,3.0
208,160,192,640,0,0,0,1,248,0,3.0
208,164,192,636,0,0,0,1,244,0,3.0
208,168,192,632,0,0,0,1,240,0,3.0
208,172,192,628,0,0,0,1,236,0,3.0
208,176,192,624,0,0,0,1,232,0,3.0
208,180,192,620,0,0,0,1,228,0,3.0
208,184,192,616,0,0,0,1,224,0,3.0
208,188,192,612,0,0,0,1,220,0,3.0
208,192,192,608,0,0,0,1,216,0,3.0
208,196,192,604,0,0,0,1,212,0,3.0
208,200,192,600,0,0,0,1,208,0,3.0
208,204,192,596,0,0,0,1,204,0,3.0
208,208,192,592,0,0,0,1,200,0,3.0
208,212,192,588,0,0,0,1,196,0,3.0
208,216,192,584,0,0,0,1,192,0,3.0
208,220,192,580,0,0,0,1,188,0,3.0
208,224,192,576,0,0,0,1,184,0,3.0
208,228,192,572,0,0,0,1,180,0,3.0
208,232,192,568,0,0,0,1,176,0,3.0
208,236,192,564,0,0,0,1,172,0,3.0
208,240,192,560,0,0,0,1,168,0,3.0
208,244,192,556,0,0,0,1,164,0,3.0
208,248,192,552,0,0,0,1,160,0,3.0
208,252,192,548,0,0,0,1,156,0,3.0
208,256,192,544,0,0,0,1,152,0,3.0
208,260,192,540,0,0,0,1,148,0,3.0
208,264,192,536,0,0,0,1,144,0,3.0
208,268,192,532,0,0,0,1,140,0,3.0
208,272,192,528,0,0,0,1,136,0,3.0
208,276,192,524,0,0,0,1,132,0,3.0
208,280,192,520,0,0,0,1,128,0,3.0
208,284,192,516,0,0,0,1,124,0,3.0
208,288,192,512,0,0,0,1,120,0,3.0
208,292,192,508,0,0,0,1,116,0,3.0
208,296,192,504,0,0,0,1,112,0,3.0
208,300,192,500,0,0,0,1,108,0,3.0
208,304,192,496,0,0,0,1,104,0,3.0
208,308,192,492,0,0,0,1,100,0,3.0
208,312,192,488,0,0,0,1,96,0,3.0
208,316,192,484,0,0,0,1,92,0,3.0
208,320,192,480,0,0,0,1,88,0,3.0
208,324,192,476,0,0,0,1,84,0,3.0
208,328,192,472,0,0,0,1,80,0,3.0
208,332,192,468,0,0,0,1,76,0,3.0
208,336,192,464,0,0,0,1,72,0,3.0
208,340,192,460,0,0,0,1,68,0,3.0
208,344,192,456,0,0,0,1,64,0,3.0
208,348,192,452,0,0,0,1,60,0,3.0
208,352,192,448,0,0,0,1,56,0,3.0
208,356,192,444,0,0,0,1,52,0,3.0
208,360,192,440,0,0,0,1,48,0,3.0
208,364,192,436,0,0,0,1,44,0,3.0
208,368,192,432,0,0,0,1,40,0,3.0
208,372,192,428,0,0,0,1,36,0,3.0
208,376,192,424,0,0,0,1,32,0,3.0
208,380,192,420,0,0,0,1,28,0,3.0
208,384,192,416,0,0,0,1,24,0,3.0
208,388,192,412,0,0,0,1,20,0,3.0
208,392,192,408,0,0,0,1,16,0,3.0
208,396,192,404,0,0,0,0,-300,160,3.0
208,392,192,408,0,0,0,0,-296,160,1.0
